ticker,name,market,sector
005930,삼성전자,KOSPI,반도체
000660,SK하이닉스,KOSPI,반도체
373220,LG에너지솔루션,KOSPI,2차전지
207940,삼성바이오로직스,KOSPI,바이오
005380,현대차,KOSPI,자동차
000270,기아,KOSPI,자동차
068270,셀트리온,KOSPI,바이오
035420,NAVER,KOSPI,인터넷
035720,카카오,KOSPI,인터넷
005490,POSCO홀딩스,KOSPI,철강
051910,LG화학,KOSPI,2차전지
006400,삼성SDI,KOSPI,2차전지
105560,KB금융,KOSPI,금융
055550,신한지주,KOSPI,금융
012450,한화에어로스페이스,KOSPI,방산
329180,HD현대중공업,KOSPI,조선
042660,한화오션,KOSPI,조선
009540,HD한국조선해양,KOSPI,조선
247540,에코프로비엠,KOSDAQ,2차전지
086520,에코프로,KOSDAQ,2차전지
196170,알테오젠,KOSDAQ,바이오
028300,HLB,KOSDAQ,바이오
